sep=;
time;model_id;model_name;port_name;data
0;1;(4,9);;<1.93426>
0;2;(4,8);;<1.93426>
0;3;(4,5);;<1.93426>
0;4;(4,4);;<1.93426>
0;5;(4,2);;<1.93426>
0;6;(4,0);;<1.93426>
0;7;(3,7);;<1.93426>
0;8;(3,5);;<1.93426>
0;9;(3,2);;<1.93426>
0;10;(3,0);;<1.93426>
0;11;(3,3);;<1.93426>
0;12;(2,8);;<1.93426>
0;13;(2,7);;<1.93426>
0;14;(2,6);;<1.93426>
0;15;(3,1);;<1.93426>
0;16;(2,4);;<1.93426>
0;17;(3,8);;<1.93426>
0;18;(2,3);;<1.93426>
0;19;(4,6);;<1.93426>
0;20;(2,2);;<1.93426>
0;21;(1,9);;<1.93426>
0;22;(1,8);;<1.93426>
0;23;(1,7);;<1.93426>
0;24;(1,4);;<1.93426>
0;25;(1,3);;<1.93426>
0;26;(3,6);;<1.93426>
0;27;(2,0);;<1.93426>
0;28;(7,2);;<2.08981>
0;29;(7,1);;<2.08981>
0;30;(7,5);;<2.08981>
0;31;(7,0);;<2.08981>
0;32;(6,8);;<2.08981>
0;33;(6,9);;<2.08981>
0;34;(1,5);;<1.93426>
0;35;(6,5);;<2.08981>
0;36;(5,6);;<2.08981>
0;37;(9,3);;<2.08981>
0;38;(6,3);;<2.08981>
0;39;(7,8);;<2.08981>
0;40;(9,7);;<2.08981>
0;41;(5,0);;<2.08981>
0;42;(7,9);;<2.08981>
0;43;(8,0);;<2.08981>
0;44;(4,7);;<1.93426>
0;45;(3,4);;<1.93426>
0;46;(0,5);;<1.93426>
0;47;(6,1);;<2.08981>
0;48;(9,6);;<2.08981>
0;49;(7,7);;<2.08981>
0;50;(0,6);;<1.93426>
0;51;(5,4);;<2.08981>
0;52;(7,4);;<2.08981>
0;53;(1,2);;<1.93426>
0;54;(0,0);;<1.93426>
0;55;(5,8);;<2.08981>
0;56;(6,6);;<2.08981>
0;57;(6,7);;<2.08981>
0;58;(9,9);;<2.08981>
0;59;(3,9);;<1.93426>
0;60;(5,2);;<2.08981>
0;61;(0,1);;<1.93426>
0;62;(5,7);;<2.08981>
0;63;(1,1);;<1.93426>
0;64;(5,9);;<2.08981>
0;65;(7,3);;<2.08981>
0;66;(5,3);;<2.08981>
0;67;(6,2);;<2.08981>
0;68;(5,5);;<2.08981>
0;69;(2,5);;<1.93426>
0;70;(5,1);;<2.08981>
0;71;(8,1);;<2.08981>
0;72;(0,9);;<1.93426>
0;73;(8,3);;<2.08981>
0;74;(8,7);;<2.08981>
0;75;(4,1);;<1.93426>
0;76;(0,2);;<1.93426>
0;77;(9,2);;<2.08981>
0;78;(8,5);;<2.08981>
0;79;(1,6);;<1.93426>
0;80;(6,4);;<2.08981>
0;81;(8,4);;<2.08981>
0;82;(9,0);;<2.08981>
0;83;(6,0);;<2.08981>
0;84;(9,8);;<2.08981>
0;85;(8,2);;<2.08981>
0;86;(8,6);;<2.08981>
0;87;(8,8);;<2.08981>
0;88;(2,1);;<1.93426>
0;89;(8,9);;<2.08981>
0;90;(1,0);;<1.93426>
0;91;(7,6);;<2.08981>
0;92;(9,4);;<2.08981>
0;93;(2,9);;<1.93426>
0;94;(9,1);;<2.08981>
0;95;(9,5);;<2.08981>
0;96;(0,3);;<1.93426>
0;97;(0,8);;<1.93426>
0;98;(4,3);;<1.93426>
0;99;(0,4);;<1.93426>
0;100;(0,7);;<1.93426>
0;1;(4,9);outputNeighborhood;<1.93426>
0;1;(4,9);;<2.47229>
0;2;(4,8);outputNeighborhood;<1.93426>
0;2;(4,8);;<1.66551>
0;3;(4,5);outputNeighborhood;<1.93426>
0;3;(4,5);;<2.74553>
0;4;(4,4);outputNeighborhood;<1.93426>
0;4;(4,4);;<1.75321>
0;5;(4,2);outputNeighborhood;<1.93426>
0;5;(4,2);;<1.3301>
0;6;(4,0);outputNeighborhood;<1.93426>
0;6;(4,0);;<1.79304>
0;7;(3,7);outputNeighborhood;<1.93426>
0;7;(3,7);;<1.73688>
0;8;(3,5);outputNeighborhood;<1.93426>
0;8;(3,5);;<1.63244>
0;9;(3,2);outputNeighborhood;<1.93426>
0;9;(3,2);;<1.00503>
0;10;(3,0);outputNeighborhood;<1.93426>
