sep=;
time;model_id;model_name;port_name;data
0;1;cb1;;<BLUE>
0;2;cb3;;<BLUE>
0;3;cb2;;<BLUE>
0;4;cr3;;<RED>
0;5;cr1;;<RED>
0;6;cr2;;<RED>
0;1;cb1;outputNeighborhood;<BLUE>
0;1;cb1;;<BLUE>
0;2;cb3;outputNeighborhood;<BLUE>
0;2;cb3;;<BLUE>
0;3;cb2;outputNeighborhood;<BLUE>
0;3;cb2;;<BLUE>
0;4;cr3;outputNeighborhood;<RED>
0;4;cr3;;<RED>
0;5;cr1;outputNeighborhood;<RED>
0;5;cr1;;<RED>
0;6;cr2;outputNeighborhood;<RED>
0;6;cr2;;<RED>
1;1;cb1;outputNeighborhood;<BLUE>
1;1;cb1;;<RED>
1;2;cb3;;<BLUE>
1;3;cb2;;<BLUE>
1;4;cr3;;<RED>
1;5;cr1;outputNeighborhood;<RED>
1;5;cr1;;<RED>
1;6;cr2;;<RED>
2;1;cb1;outputNeighborhood;<RED>
2;1;cb1;;<BLUE>
2;2;cb3;;<BLUE>
2;3;cb2;;<BLUE>
2;4;cr3;;<RED>
2;5;cr1;outputNeighborhood;<RED>
2;5;cr1;;<RED>
2;6;cr2;;<RED>
3;1;cb1;outputNeighborhood;<BLUE>
3;1;cb1;;<BLUE>
3;2;cb3;outputNeighborhood;<BLUE>
3;2;cb3;;<BLUE>
3;3;cb2;outputNeighborhood;<BLUE>
3;3;cb2;;<BLUE>
3;5;cr1;;<RED>
4;1;cb1;outputNeighborhood;<BLUE>
4;1;cb1;;<BLUE>
4;2;cb3;;<BLUE>
4;3;cb2;;<BLUE>
4;4;cr3;;<RED>
4;5;cr1;outputNeighborhood;<RED>
4;5;cr1;;<RED>
4;6;cr2;;<RED>
5;1;cb1;outputNeighborhood;<BLUE>
5;1;cb1;;<BLUE>
5;2;cb3;;<BLUE>
5;3;cb2;;<BLUE>
5;4;cr3;;<RED>
5;5;cr1;outputNeighborhood;<RED>
5;5;cr1;;<RED>
5;6;cr2;;<RED>
6;1;cb1;outputNeighborhood;<BLUE>
6;1;cb1;;<BLUE>
6;2;cb3;;<BLUE>
6;3;cb2;;<BLUE>
6;4;cr3;;<RED>
6;5;cr1;outputNeighborhood;<RED>
6;5;cr1;;<RED>
6;6;cr2;;<RED>
7;1;cb1;outputNeighborhood;<BLUE>
7;1;cb1;;<BLUE>
7;2;cb3;;<BLUE>
7;3;cb2;;<BLUE>
7;4;cr3;;<RED>
7;5;cr1;outputNeighborhood;<RED>
7;5;cr1;;<RED>
7;6;cr2;;<RED>
8;1;cb1;outputNeighborhood;<BLUE>
8;1;cb1;;<BLUE>
8;2;cb3;;<BLUE>
8;3;cb2;;<BLUE>
8;4;cr3;;<RED>
8;5;cr1;outputNeighborhood;<RED>
